ptp,boards,rt,response.Q0,response.Q1
sub_021,schema_ic,67316.09999999776,"sink,cucumber,table,traffic light,beer,tomatoes","ATM,tree,cow,drum kit,bulb,rocking chair"
sub_021,schema_l,66897.30000000075,"present,pumpkin,kiwi,phone,rose,shovel","bread,mug,squirrel,wheel,cloud,bee"
sub_021,random_loc,54668.900000002235,"trolley, tree, footie table, bus, ice cube, ladybird","microwave,Rubix cube,treadmill,pool table ,bottle, hose"
sub_022,random_loc,124361.30000001192,"Cream cake, escalator, suitcase, bed, ball, light swtich","Macaroni, shower head, table, onion, steering wheel, bookcase"
sub_022,no_schema,35598,"Chair, pepper shaker, bus, map, screen, doughnut",NA
sub_022,schema_c,83322.59999996424,"sink, cucumber, table, traffic lights, coke, tomatoes","cash machine, Xmas tree, cow, drum set, light bulb, rocking chair"
sub_022,schema_ic,122862.89999997616,"present, pumpkin, kiwi, pay phone, rose, shovel","chips doritos, flask, squirrel, wheel, cloud, wasp"
sub_022,schema_l,67574.5,"trolley, tree, gaming table, coach, ice, ladybird","microwave, rubix cube, walk machine, pool table, bottle, hose pipe"
sub_023,schema_c,69905.80000001192,cupcake elevator fridge bed basketball socket,pasta showerhead table onion steering wheel cupboard
sub_023,schema_ic,26706.10000000894,bath flipflop handle ace mirror curtain,chair salt bus map tv doughnut
sub_023,schema_l,30749.69999998808,sink cucumber table traffic light pint tomoatoes,atm christmas tree cow drums bulb chair
sub_023,random_loc,29733,present pumpkin kiwi phone rose spade,tortilla flask squirrel cycle cloud bee
sub_023,no_schema,16924.89999999106,microwave rubix treadmill pool beer hose,NA
sub_024,no_schema,28587.199999809265,"pasta
showerhead
table
red onion
steering wheel
bookshelves",NA
sub_024,schema_c,73268.7000002861,"bath
flipflop
door handle
ace of diamonds
wing mirror
curtains","foldable chair
salt shaker
school bus
world map
television
doughnut"
sub_024,schema_ic,45334.300000190735,"sink
cucumber
picnic table
traffic lights
pint
plum tomatoes","cash machine
Christmas tree
cow
drums
lightbulb
rocking chair"
sub_024,schema_l,70925.69999980927,"present
pumpkin
kiwi
payphone
rose
spade","tortilla crisp
thermos mug
squirrel
bicycle wheel
cloud
bee"
sub_024,random_loc,42687.2000002861,"trolley
tree
table football
bus
ice
ladybird","microwave
rubix cube
treadmill
snooker table
beer bottle
hose"
sub_025,schema_ic,80255.90000000037,"cake, escalator, bag, bed, ball, plug","pasta, shower, table, onion, wheel, shelf"
sub_025,schema_l,42648.59999999963,"tub, sandals, knob, card, mirror, curtain","chair, salt, bus, map, screen, doughnut"
sub_025,random_loc,51173.5,"sink, cucumber, bench, traffic light, beer, tomato","ATM, xmass-tree, cow, drums, bulb, chair"
sub_025,no_schema,46938.59999999963,"bread, mug, squirl, tire, cloud, bee",NA
sub_025,schema_c,67027.59999999963,"cart, tree, foosball, bus, ice, ladybug","microwave, cube, treadmill, table, bottle, hose"
sub_026,schema_l,178889,"Cupcake, escliater, water fountin, bed, basketball, socket","pasta, shower head, table, onion, staring wheel and cabinet "
sub_026,random_loc,126793,"Bath, slipper, door handle, dimond, wing mirror, curtains ","chair, salt, school bus, map, tv, donut "
sub_026,no_schema,87135.70000000298,"cash machine, Christmas tree, cow, drum kit, light bulb, rocking chair",NA
sub_026,schema_c,91150.10000000894,"present, pumkin, kiwi, phone box, flower, shuvel ","bread, coffee mug, rat, wheel, cloud, bee
"
sub_026,schema_ic,81534,"Trolly, tree, football game, coach, ice cube, ladybird","microwave, cube, walking, pool, beer, hose "
sub_027,schema_ic,86694.20000000112,"Sofa, fridge, corn, keys ","Pasta, Shower, Table, Onion, Steering Wheel, Bookcase"
sub_027,schema_l,37295.59999999963,"onion, pasta, basketball, table, escalator","chair, salt, bus, map, tv, doughnut"
sub_027,random_loc,52281.90000000037,"flip flop, wing mirror","atm, tree, cow, drums, bulb, rocker"
sub_027,no_schema,25574.800000000745,"tortilla, cup, squirrel, wheel, cloud, bee",NA
sub_027,schema_c,55759,"cup, table, bee, tomatoes, cucumber, chair, wheel","microwave, rubiks cube, treadmill, pool table, bottle, hose"
sub_028,schema_ic,68437.70000001788,"cupcake, stairs, box, bed, basketball, socket","macaroni, shower, table, onion, steering wheel, shelf"
sub_028,schema_l,36000.89999997616,"tub, slipper, door handle, card, mirror, curtain","chair, salt, bus, map, tv, doughnut"
sub_028,random_loc,36389.40000000596,"sink, cucumber, table, traffic light, beer, tomatoes","ATM, tree, cow, drums, lightbulb, chair"
sub_028,no_schema,21742.90000000596,"chip, mug, squirrel, wheel, cloud, bee",NA
sub_028,schema_c,39289.90000000596,"cart, tree, game, bus, ice, bug","microwave, cube, treadmill, pool, bottle, hose "
sub_029,random_loc,43820.10000002384,"pasta, shower head, table, red onion, steering wheel, shelf","pasta, shower head, table, red onion, steering wheel, shelf"
sub_029,no_schema,23289.899999976158,"table, salt, bus, map, screen, donut",NA
sub_029,schema_c,31632.19999998808,"ATM, Christmas tree, cow, drumkit, bulb, chair ","ATM, Christmas tree, cow, drumkit, bulb, chair "
sub_029,schema_ic,25906.19999998808,"crisp, flask, squirrel, wheel, cloud, bee ","crisp, flask, squirrel, wheel, cloud, bee "
sub_029,schema_l,26924.200000047684,"microwave, rubix cube, treadmill, snooker table, bottle, wire","microwave, rubix cube, treadmill, snooker table, bottle, wire"
sub_030,random_loc,42385.60000000149,"Cupcake
Escalator
Record player
Bed
Basketball
Plug Socket
","Pasta
Shower Head
Table
Onion
Steering Wheel
Cabinet"
sub_030,no_schema,20014.5,"Chair
Salt Shaker
School Bus
Map
TV
Doughnut",NA
sub_030,schema_c,27924.199999999255,"Sink
Cucumber
Bench
Traffic Lights
Beer
Tomatoes","ATM
Christmas Tree
Cow
Drums
Lightbulb
Chair"
sub_030,schema_ic,31437.199999999255,"Present
Pumpkin
Kiwi
Phone
Rose
Shovel","Chip
Cup
Squirrel
Wheel
Cloud
Wasp"
sub_030,schema_l,32381,"Trolley
Tree
Foosball Table
Coach
Ice Cub
Ladybird","Microwave
Rubiks Cube
Treadmill
Pool Table
Bottle
Hose"
sub_031,random_loc,127974.5,"cupcake, escalator, record player, bed, ball, socket","pasta, shower head, table, onion, steering wheel, bookcase"
sub_031,no_schema,46370.800000071526,"chair, pepper pot, bus, map, television, donut",NA
sub_031,schema_c,160534,"sink, cucumber, picnic table, signals, drink, tomatoes","cashpoint, Christmas tree, cow, drum kit, bulb, rocking chair"
sub_031,schema_ic,312346.10000002384,"present, pumpkin, kiwi, phone, rose, shovel","crisp, thermos mug, squirrel, wheel, cloud, wasp"
sub_031,schema_l,106318.20000004768,"trolley, tree, table football, coach, ice cube, ladybird","microwave, rubiks cube, treadmill, air hockey, beer bottle, hose"
sub_032,schema_c,106565.30000007153,"Macaroni, shower head, table, red onion, steering wheel, book shelf",I am unsure as I have yet to view the hidden pictures for this experiment. 
sub_032,schema_ic,113830.20000004768,I would only know these once the test begins?,"Chair, Salt Shaker, School Bus, Map, Tv, Donut"
sub_032,schema_l,47361.89999997616,Not Known,"ATM, Christmas Tree, Cow, Drum Set, Light Bulb, Chair"
sub_032,random_loc,50844.800000071526,Unkown,"Nacho, Thermos, Squirrel, Bicycle Tire, Candy Floss, Wasp"
sub_032,no_schema,121548.09999990463,"Microwave, rubiks cube, tredmil, pool table, beer bottle, garden hose",NA
sub_033,no_schema,40512.400000572205,"pasta, shower head, table, red onion, steering wheel, bookshelf",NA
sub_033,schema_c,70936.80000019073,"chair, salt,bus, map, tv, donut",not sure
sub_033,schema_ic,48688.199999809265,"ATM, christmas tree, cow, drums, light bulb, rocking chair",not sure
sub_033,schema_l,42340,"crisp, cup, squirle, wheel, cloud, wasp",not sure
sub_033,random_loc,37663.39999961853,"microwave, rubix cube, treadmill, pool table, bottle, hose",not sure
sub_034,schema_ic,77519.29999999702,"Cupcake, escalator, vinyl player, bed, basketball, plug","macaroni, shower head, cake stand, onion, steering wheel, bookcase"
sub_034,schema_l,48979.29999999702,"Bath, flip flop, door handle, card, mirror, curtain","chair, salt shaker, bus, map, tv, donut"
sub_034,random_loc,106612.90000000596,"Sink, cucumber, bench, traffic lights, beer, tomatoes","cash machine, christmas tree, cow, drums, lightbulb, rocking chair"
sub_034,no_schema,51515.79999999702,"Nacho, cup, squirrel, wheel, cloud, wasp",NA
sub_034,schema_c,52981,"Trolley, tree, fussball, coach, ice cube, ladybird","microwave, rubix cube, treadmill, pool table, beer, hose"
sub_035,schema_l,171039,"Cupcake,Escalator,Record player,bed,basketball and plug socket.","Pasta,Shower head,Table,Onion, Steering wheel and cabinet."
sub_035,random_loc,149060,"Bath,Flip flop,Door handle,Ace of diamonds, Wing mirror and Curtain.","Chair,Salt shaker,Bus,Map,TV and dougnut."
sub_035,no_schema,78270,"ATM,Christmas tree,Cow,Drums,Engery saving bulb and Rocking chair.",NA
sub_035,schema_c,150433,"Present,Pumpkin,Kiwi fruit,Telephone,Flower and a Spade.","Pancake,Beverage holder,Squirrel,Wheel,Cloud and Bee."
sub_035,schema_ic,103908,"Trolley, Tree, Fuseball table, Bus. Ice and ladybug.","Microwave, Rubex cube, Treadmill, Pool table, Beer and Garden hose."
sub_036,schema_l,82384.19999992847,"cupcake, escalator, device, bed, basketball, power outlet. ","pasta, shower head, table, onion, steering wheel, shelf"
sub_036,random_loc,55412.10000002384,"bathtub, sandal, door handle, card, side mirror, curtain","chair, salt shaker, school bus, map, monitor, donut"
sub_036,no_schema,34978.60000002384,"ATM, christmas tree, cow, drum kit, light bulb, chair",NA
sub_036,schema_c,57163.60000002384,"presents, pumpkin, kiwi, phone, rose, shovel","tortilla, flask, squirrel, wheel, cloud, bee "
sub_036,schema_ic,59201.89999997616,"trolley, tree, foosball table, bus, ice, ladybird","microwave, rubix cube, treadmill, pool table, bottle, hose"
sub_037,schema_c,55516.29999999702,"Cake, escalator, record player, bed, basketball, socket","Pasta, showerhead, table, onion, steering wheel, bookcase"
sub_037,schema_ic,61318,"Bath, flip flop, door handle, Ace, Wing mirror, curtain","Chair, salt shaker, school bus, map, TV, doughnut"
sub_037,schema_l,52099.89999999851,"Sink, cucumber, picnic bench, traffic lights, beer, tomatoes","ATM, Christmas tree, cow, drum kit, lightbulb chair"
sub_037,random_loc,42454.89999999851,"Gift, pumpkin, kiwi, phone, rose, spade","Tortilla, flask, squirrel, wheel, cloud, bee"
sub_037,no_schema,25062.5,"microwave, rubix cube, treadmill, snooker table, bottle, hose",NA
sub_038,no_schema,47311.80000001192,"pasta, shower head, round table, red onion, steering wheel, shelf.",NA
sub_038,schema_c,122758.29999998212,"bathtub, sandal, door handle, card, rearview mirror, curtain.","chair, salt shaker, bus, world map, monitor, donut."
sub_038,schema_ic,67742.69999998808,"sink
cucumber
table
traffic lights
pint
tomatoes","ATM
christmas tree
cow
drums
lightbulb
chair"
sub_038,schema_l,51556.5,"present
pumpkin
kiwi
dial phone
flower
shovel","wrrap
flask
squirrel
tyre
cloud
wasp"
sub_038,random_loc,51322.90000000596,"trolley
tree
football table
coach
stone
ladybird","microwave
rubiks cube
treadmill
pool table
beer bottle
hose"
sub_039,random_loc,48456.90000009537,"cupcake, escalator, sink, bed, basketball, socket","macaroni, shower, table, onion, steering wheel, bookshelf"
sub_039,no_schema,25663.400000095367,"chair, salt, bus, map, monitor, doughnut",NA
sub_039,schema_c,38130.5,"sink, cucumber, picnic table, traffic lights, beer, tomatoes","ATM, Christmas tree, cow, drumkit, lightbulb, chair"
sub_039,schema_ic,38561.40000009537,"present, pumpkin, kiwi, phone, rose, spade","dorito, thermos, squirrel, wheel, cloud, wasp"
sub_039,schema_l,41808.09999990463,"shopping trolley, tree, table football, coach, ice, ladybird","microwave, Rubik's cube, treadmill, pool table, bottle, hose"
sub_040,no_schema,30640.099999904633,"Pasta, Shower, Table, Onion, Steering wheel, Bookcase",NA
sub_040,schema_c,56315.5,"Bath, flipflop, handle, card, mirror, curtain.","chair, salt, bus, map, monitor, donut."
sub_040,schema_ic,50239.699999809265,"sink, cucumber, picnicbench, traffic lights, pint, tomatoes","atm, xmas tree, cow, drums, bulb, chair."
sub_040,schema_l,39856.10000038147,"present, lantern, kiwi, payphone, rose, shovel.","nacho, mug, squirrel, wheel, cloud, bee."
sub_040,random_loc,40133.300000190735,"trolley, tree, football, bus, ice, bug.","microwave, rubiks cube, treadmill, snooker, bottle, hose."
sub_041,random_loc,176792.2000000002,"cupcake, escalator, record player, bed, basket ball and socket.","pasta, shower head, table, onion, steering wheel, bookcase."
sub_041,no_schema,45414.60000000009,"chair, salt container, school bus, map, television, doughnut.",NA
sub_041,schema_c,78251.5,"sink, cucumber, table, traffic lights, pint of beer, and tomato's","cash machine, Christmas tree, cow, drum kit, bulb and rocking chair."
sub_041,schema_ic,101089.1000000001,"present, Halloween pumpkin, kiwi, phone box, flower, shovel.","chip, cup, squirrel, tire, cloud and bee"
sub_041,schema_l,99896,"trolley, bonsai tree, football game, bus, ice cube and ladybird","microwave, rubix cube, treadmill, snooker table, beer bottle and hose."
sub_042,schema_l,76994,"cupcake, esculator, case, bed, basketball, socket","pasta, shower. table, onion, steeringwheel, bookcase"
sub_042,random_loc,42858,"bath, shoe, handle, card, mirror, curtain","chair, salt, bus, map, tv, doughnut"
sub_042,no_schema,41738,"game, xmas tree, cow, drum, light, chair",NA
sub_042,schema_c,36893.69999998808,"gift, pumpkin, kiwi, phone, rose, shovel","crisp, mug, squirrel, wheel, cloud, bee"
sub_042,schema_ic,40966.59999999404,"trolley, tree, football, bus, ice, bug","microwave, rubiks, treadmil, pool, bottle, hose"
sub_043,schema_ic,63662,"cupacake, escalator, water fountain, bed, basket ball, plug","pasta, shower head, table, onion, steering wheel, cupboard"
sub_043,schema_l,44023.300000000745,"bath, flip flop, door nob, card, mirror, curtain","seat, salt, bus, map, tv, donut"
sub_043,random_loc,36891.199999999255,"sink, cucumber, bench, traffic light, beer, tomatoes","atm, tree, cow, drumset, lightbulb, chair"
sub_043,no_schema,22000,"naan bread, flask, squirrel, wheel, cloud, bee",NA
sub_043,schema_c,96041.5,"trolley, tree, soccer table, bus, rock, ladybird","microwave, rubiks, running machine, snooker, beer, hose"
sub_044,schema_c,66889.89999999851,"Cupcake, escalator, fountain, bed, basketball, plug","Macaroni, showerhead, table, oion, wheel, shelf"
sub_044,schema_ic,54956,"Sink, flip-flop, handle, ace, mirror, curtains","Chair, salt, bus, map, TV, donut"
sub_044,schema_l,44064.79999999702,"Basin, cucumber, table, traffic light, beer, tomatoes","Cashpoint, tree, cow, drums, bulb, chair"
sub_044,random_loc,36249.39999999851,"Gift, pumpkin, kiwi, phone, flower, shovel","Bread, thermos, squirrel, bicycle, cloud, bee"
